Text,Category 
Mauli aaicha number dya na pliz 🙏🙏🙏,None of the categories
आजीला हसू येत आहे यांच्यावर 😅,Transphobia
Shiv laxme n sanjay jhalte malegao yani pan kel hot last year lgn…,None of the categories
"Apan apli sanskruti kuthe neun thevli ahe
",Homophobia
  @iuvs9641  tondat ghe mag maza,None of the categories
निसर्गाच्या विरुद्ध काही गोष्टी माणूस आजकाल करू लागलेत..... पण त्या लोकांना आपला हक्क मिळाला त्याबद्दल आनंद आहे👍👍,Homophobia
Tu pan karun taak naa mag bhosdichya,None of the categories
शिवलक्ष्मी संजय... proud of you 🙏,None of the categories
Lagn kara ani sath pan nibhawa,None of the categories
Prashn vichrtana yevadhi halaychi KY ch grj ny,None of the categories
खूपच चांगले विचार आहेत तुमचे.... तुमच्या सारखी विचार करणारी खूप कमी लोकं आहेत... खूप कौतुक आहार तुमचं...👌👌👌👍👍👍,None of the categories
Ashok Jaybhay nakkich mule jalmala kuthun ghalnr ki ready made palna gharatun ghenr ki kay,None of the categories
"Tai tu khup khup god distes ummmmaaaa

",None of the categories
सुहागरातीला पहिली कोणकोनाची घेणार दोघे जण पहिली तू दे पहिली तू दे करणार 😂🤣🤣🤣,None of the categories
त्याला संघात पाठवा.संघ शक्ती यु गे यु गे 😂😂रमेल तिथे 😂😂,Homophobia
Congratulations....... 1 cute baby pn adopt kara..... 😘😘😘😘😘😘😘 lot's of love,None of the categories
खूप ग्रेट उपक्रम घडवाला आहे ..... 👍🏻👍🏻वैभव स्वामी सर 👍🏻💐,None of the categories
आता खरी वेळ आली आहे....पृथ्वी सोडून मंगळ ग्रहावर जाऊन बटाटे लावायची🚀.,Homophobia
shweata 123 but whats your problem?..tyanch jivan aahe tyanche te baghtil..,None of the categories
Ka lok yana samjun ghet nhit yana pn feeling ashtat tyana pn jiv ashto tyat tyanch ky dosh shevti jivan he sarkhech na..,None of the categories
देवाने नाही एकत्र आनल ते स्वतः च आले...😅,None of the categories
तरी मला राहुन राहुन वाटतच होत,None of the categories
Mulech kshi honar hahi prasn aahe…,Homophobia
Ashi lagan karayal waghacha kalig lagat congratulations bhava,None of the categories
"लग्न राहुद्या, त्यांना शिक्षण द्या आणि स्वतःच्या पायावर उभे करा. बाकी ते स्वतः मिळवतील.",None of the categories
Itka gambhir vishay itkya sahajtane charchet aanlyabaddal khup khup dhanyawad. Vishal aani Ambika madam ne itki samarpak uttar dili kharach kautuk aahe. Omkar ne pan vishay khup chaan handle kela. English subtitles dile tar hi charcha pan level var  pan pahili jaavi,None of the categories
Are baba ha kahi pariyay vegre nhi h tyala trangender to avdla manun krto bki kahi nhi,None of the categories
"हाय लागली असेल कदाचित मॉलीवूड वाल्यांची
",None of the categories
शिवाजीची शिकवण देणारा नट आता ही वेगळी शिकवण देत आहे ,None of the categories
मुलींच्या अपेक्षाच एवढ्या आहेत की मुलंच मुलांचा प्रोब्लेम सोडवतायेत,Transphobia
Mala hi  hya lokanbaddal khupch aadar ahe,None of the categories
Hay kya dekna pda raha he acha hua mai andha hu😁😁,None of the categories
वीर दौडले साथ..…....मधला एक गे निघाला,None of the categories
आता कोन कोनावर चड.... 🤔🤔🤔🤔,Homophobia
Ata kadtay you tube channel 😂😂🤣🤣,None of the categories
Ankit yes tuja wp no de yr,None of the categories
Khup chan kam kelas tu ha interview ghevun.Lahanpana pasunach ya samja karta kahi tri karyachi echa ahe ani yani etka tras sahan karat jagun pan lokanana ashirwad ch dilet he Sanata etkech mahan ahet.,None of the categories
Tyala mul deun bgh tu bolshil te krto,Transphobia
Kinnar ni lagn ka karu naye dada sanga bar jara ?,None of the categories
Shabbas Lakshmi  tumhi doghehi ya samajala jagrut karat aahat. God bless you,None of the categories
"जोडप्याला शुभेच्छा 💐 
भारतात आणि महाराष्ट्र/विदर्भात अशी मानसिकता निमार्ण नाही झाली, ज्याने समलैंगिक संबंध/लग्नाला मान्यता मिळेल. लोकं जुन्या व अडानी विचारांची आहेत. समलैंगिक माणसं ही फक्त माणसच आहेत.

",None of the categories
बाबासाहेबाना विसरू नका,None of the categories
सारंग गोर्या लोकांबद्दल तु काही बोलू नकोस तुला परत घरी जायच आहे हे लक्षात ठेव😂😅,None of the categories
सांगायची गरज नाही. सर्वाना माहीत आहे,None of the categories
"🎉  लई भारी भावा.....
        फुडचे पन हिडियो  येऊ  द्या…",None of the categories
"Hadlila navhta navra
Ani khaisala navhti bayko",None of the categories
PUBG MOBILE VIDEOS tase naste sanskar bare astil tar changale,None of the categories
ABP माझ्या घरा माघे डूकरिन पिले देले आहे आणि त्यातील एक आधल आहे ती पण या थडकल्स abp माझा ने नुझ्य  दाखवावे अरे शेतकरी आणि सिमे वरच्या जवणाच्य वेथा कधी दाखवल्या का तुमचे तर तोड हाणले पाहिजे चॅनल वल्याचे या जरा शेतात आणि बागा बळी राजा काय आवस्ता आहे,None of the categories
"राष्ट्रीय किन्नर एकता परिषद
 मा.राकेश उरकुडे    RKEP राष्ट्रीय प्रभारी*",None of the categories
love u tai mla tumhal bhetnaychi khup ecchh ahe,None of the categories
"लोग इंतजार कर रहे थे...

1) राम मंदिर, 
2) महंगाई,
3) 3 तलाक, 
4) समान नागरिक अधिकार,
5) 2 बच्चे आदि के फैसले का...

लेकिन कोर्ट ने कहा तुम आपस मे गांड मराओ।



-SECTION#377 😜😆",Homophobia
प्रश्न असा हे आत्ता..आता मूलबाळ होणार कोणाला..🙄,Transphobia
मागील वाटचालीस हार्दिक शुभेच्छा🤣🤣🤣,None of the categories
Mala khup avadla ha video,None of the categories
"प्रथमतः मराठी किडा चॅनलचे खुप खुप तुम्ही समाजाच्या डोळ्यात अंजन घालणारा विषय निवडला. परमेश्वराने प्रत्येकाला जन्म दिला पण यांच्या कडे बघितले की  वाटते यांची अवस्था खूपच वाईट आहे. अशी मुले जन्माला आली आणि मोठी झाली कि त्यांच्या घरातलेच आणि आजु बाजूचा समाज त्यांना त्रास द्यायला चालू करतात . मग हे लोक घर सोडुन बाहेर पडतात पोटाच्या खळगीसाठी लोकांकडे हात पसरतात बघुन वाईट वाटते. ज्या व्यवस्थेत जगायला जागा नव्हती, तिथं मरायला तरी जागा कुठून मिळेल हे ऐकुन खुपच वाईट वाटले. सरकारी यंत्रणा या लोकांसाठी नोकऱ्या देऊ शकते. रेल्वे मध्ये लोंकाकडे हात पसरवुन पैसे मागतात हे बघितल्यावर वाटते सरकार याना रेल्वे मध्ये तिकीट चेकर ( TC) म्हणुन नोकरी देऊ शकते. बिना तिकीट प्रवास करणाऱ्यावर आळा बसेल. सत्ताधारी नेत्यांनी या लोकांसाठी काही केले तर त्यांना खुप मोठे पुण्य कर्म केल्याचे श्रेय मिळेल.",None of the categories
मागिल वाटलीचालिस खुप खुप शुभेचा,None of the categories
आता बसा दाड्या खेळत ,Transphobia
यार असेल त्याच प्रेम तुम्ही उलट चागला  सागंचा सोडून काही पण कस बोलताय आणि सगंळे बोलतात ना प्रेम अंधळ असतं,None of the categories
Balya aai bapacha vichyar gnd ghatla bhadya,Transphobia
काय दिवस आलेत बाबा,Homophobia
Ticha lajnyavar mi suddha fida jhale..ti kharach mulgich ahe chukun kinnar jhali..khup sunder jodi.,None of the categories
Ghadhi aasa kahich nahi bola,None of the categories
menejment science phd keli ahe tr education chalu thevaycha n...ugacha  kashala tamasha madhe shirlat,None of the categories
hya video madhye shamibha tai ahet my inspiration ,None of the categories
Prashn vichrtana yevadhi halaychi KY ch grj ny,None of the categories
Balu pn tasach asel ba,None of the categories
 @kingofabudabi1801  Kahi problem nahi bhau,None of the categories
तुमची प्रगती अशीच उत्तरोत्तर होत राहो🙏🙏,None of the categories
🤣🤣🤣 संस्कृती बिघडवली,Homophobia
"Tyancha soda...pn Tumchya bhashetun tumachich sanskruti samajali.. ..tumchya aai la pn asha bhashet bolun dakhava mhanje aai barobar assal sanskruti dakhvel...




",None of the categories
Kalyug Ahhe bhau....,Homophobia
यांच्यामुळेच नको त्या गोष्टीला प्रोत्साहन मिळते ,None of the categories
Ohoo.. tumhi tri kuthe normal ahat?,Homophobia
जिवन आज कुठल्या 🔃वळणावर आली पहा👀👍,Transphobia
Aai khuuuupp khuuuuup changal uttar dil,None of the categories
Lavdyala gu lagal tava kalal,Transphobia
"Tumhala koni chidaval tar dya 2 mhanta4,5thivun kanakhali 💞🙏",None of the categories
Saglya ewdhya sundar ahet .......muli pn fail,None of the categories
Swapana khup niragas aahe,None of the categories
तो सांगायला लाजतोय तुम्हीच ओळखा,Homophobia
Abp maza ....उघडे डोळे बघा निट 😂😂😂😂😂,None of the categories
आता आहे मग नाही. निर्व्ंश .पुढे नाव सांगायला कोणी नाही लोक थोडे दिवस डोक्यावर घेऊन मिरवणार. म्हणे आदर्श,None of the categories
Chhan Kam kel Balu dada,None of the categories
"Kya bat he bhi 🤣🤣🤣🤣🤣

",None of the categories
का त्याची घालवतो,None of the categories
Nakki ashe vichar topic var video banavli pahije 😊🙌🏼🙌🏼,None of the categories
"Congratulations 💐💐💐👏👏
दुसरे काय बोलतात याचा विचार नका करू",None of the categories
"Nisargacha niyam koni modu shakat nahi
Aani jo model to mentally retarded aahe",Homophobia
"राग नका मानू , पण आत्ता ची पिढी कुठ तरी चुकीच्या रस्त्याला चालली आहे",Transphobia
Mahan ahes bhava tu.. Samaj ha fakt nav thevaich kam krto... Ek divas jari upashi koni rahila na ha samaj tyala khaila ni det ulat tyala shahanpana shikvto.. Tu chan disejen ghetal bhava,None of the categories
"Hey Pronouns, inclusive words wagire natak Bhartat nako. Baherchya companies la tyanche Puberty blockers , sex change operations ne paisa kamvaycha ahe. Lahan mulan shalet lgbt sex shikva asi magni mumbai high court kade keli ahe. America sarkhi  halat te Bharatat karu baghat ahet. Baykanchya sports madhe trans bayka khelnar, baykana Breast feeders, birthing people ase boltat he loka. Bai hi ek samajik sankalpana ahe ase te prachar karta.",Transphobia
BROTHER ME PUNYAT ANI MUMBAI MADHE TUMHALA GHAR RENT VAR DEU SHKTO ..,None of the categories
" @ordinaryman462  चूडीतर तूच घातल्या आहेस 
तू स्वत:ला पुरुष म्हणून घेण्याच्यापण लायकीचा नाहीस 😀😁
कारण समलैंगीक असो वा विषमलींगी पुरूष असो तू कोणाला समजुन घेणार बीहारमधे phd केलेल्यांकडून काय अपेक्षा करता येईल 😀
बीहारी जानवर",None of the categories
"Mitra sobat mitra sarkhach raha na nalayak ho.....kahi akkal nahi ka tumhala...?
Mitra mitra ni lagn kel...jarasi kahi laaj nahi waatli ka be tumchya doghannahi?????
~samajat chukicha message pasravun samaj dushit kashala karta aahat?",Homophobia
असेल काय?..आहेच…,None of the categories
Are to aahech na,None of the categories
Ajarach to,None of the categories
आपण महाराष्ट्र मध्ये राहतो अमेरिकेत नाही मांजरेकर तुम्ही भान ठेवून बोला,Homophobia
Genetically janmala ale nastat genetically fault gheun janmala alele astat. ..I think you understand it now,None of the categories
Kay nalayak pana lavlay yani,Homophobia
sex चा विचार केला का,Transphobia
"Ekmekyanchya gotyaa khelaa attaaa....
Yedzyano....
Chyala...
Mitra prem hi vegli gost ahe...
Aani samlangik sambhand hi vegali..
Yedzave...
Hyaaa doghachaaa kahitari gotmat asanar ah",Homophobia
"Transgender mhanje kay ast????
Anyone  can explain plz in laymans languages??",None of the categories
तुम्हाला खूप खुप गुड लक ❤❤❤❤❤,None of the categories
Mann na var Prem kara ayushyabhar great job,None of the categories
एक अनोखे उदाहरण तुम्ही समाजापुढे ठेवता आहात तुम्हा दोघांना भावी वैवाहिक जीवनासाठी खूप खूप शुभेच्छा.,None of the categories
भाई कोण आहेत हेय काय अभ्यास काय हुशारी काय बोलणे काय ज्ञान वाह वाह किती हेय अफाट अचाट आस मत 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻नमन,None of the categories
"खूप छान विषय निवडला आहे, धन्यवाद",None of the categories
He lok kiti hushar ani ahet ..abhyasu ahet,None of the categories
मला 1पाहिजे मजी पाहिजे,None of the categories
सैतानी स्पिरिट,None of the categories
हो लॉटरी लागी ना करत बस म्हणाव आणि त्याची पण एकमेकाचे दाढी करत आहेस म्हणून,None of the categories
Ekdam Faltu discussion ahe jya vishayanchi discussion gyachi Te ghet nai nako tithe naak ghupsacha,None of the categories
Post nit vachun comments kara…,None of the categories
आयला ह्याला आधीच कळाले ह्याच बेन खराब निघलय ते 😂😂,None of the categories
  @iuvs9641  prem Kay Asat Gay Lokancha Bhavana Kay Astat He Hya Lokana Kay Mahiti Tyana Fakt Mulin Madye Aakha Jag Disat yek gay chya kinnar chya Bhavana tyanch Dukha Kay Asat He lok kadhich Nahi Samjnar devane Tyana Gay Kiva Kinnar banvay pahije hot mag kalal asat ki yek gay & kinnar cha Dukh kay Asat ... Karan mi Pan gay Aahe😔😢& garv aahe mala mi gay asalyacha karan kuna vishai wait vichar tar karat nahit lokancha bhavana Samjtat aamala te hya Lokana Nahi Samjaych...,None of the categories
"आता भाऊ वाड्यावर या😂😂
बाई ला सुट्टीo",None of the categories
"न्यूज़ वाल्यानी हे दाखवायला नाही पाहिजे , समाजामध्ये घाणेरडा सन्देश जात आहे , हे आहेत् च एडभोकाचे आता मारा एक मेकांची गांड ,",Homophobia
   @Ritu-nx8tn  dev banau shakto... tr Dev lekru pn deu shklech ki.....0.001 percent Tri chance aselch ki,None of the categories
Ek number kam kelas 👍🏻,None of the categories
"Kharach samajat he Badal khup positive aahet, balu keep it up👍👍👍",None of the categories
"कशाला टाळी वाजवल्या शिवाय पोट नाही मी तर आयूष्यात टाळी वाजवली नाही, भिक ही मागत नाही मी, सगळ आपल्या मनावर डीपेन्ड असत सगळ ईतकी मी सूदंर असताना माझ्या शी कोन लग्न करे ना,, याना बरे भेटतात,, काम धंधे नसनारेच t. G शी लग्न करतात कोणी बिजनेस मॅन किंवा वेलसेटेड व्यक्ति का नाही करत t. G शी लग्न ??",Transphobia
kaun brobar kel sale ata kashe mant ahe be Eka mekachi Gand mara manun an porgi maru Dete don divas changle rahta Mg ksa maycha pallu pakdta be sale hijde tumhi ahe tu nhi zaruri nhi ka tyan Gand mara sathi ch lagn kel Asel manun,Homophobia
त्याने तुला सांगायची गरज नाही तो तसाच आहे जेव्हा तो पहिल्यांदा कॅमेरा समोर आला तेव्हाच पोट्टे बोंबलत होते की हा तसला आहे म्हणून तुम्ही दोघांनी जरी तसलं काही जुळवलं तरी आमची हरकत नाही,Homophobia
"Me pan hach vichar karat aahe pan khup bhiti vatate ....
Bapre lok kay mhntil",None of the categories
Marun jaa saly,Homophobia
Are baba tech genetically fault asto to...male female hotana genetically fault zhalavar he janmala yetat like polio,None of the categories
आरे बाळ्या जरा खा पीत जा बाबा...तुला बघुन असे वाटते की तू आमरण उपोषण करून आलायस,None of the categories
Khup Chan vichar ahe,None of the categories
"  @ketkipadvi2476  
I appreciate ur opinion
Jar स्वतःवर अशी वेळ आली तर हे नकारात्मक बोलणारे लोक स्वतःचा जीव देतील का असे त्यांना विचारायला पाहिजे 
त्याच्या स्वतःवर ही वेळ आल्यावरच त्यांना या गोष्टीचे महत्त्व पटेल असे मला वाटते

",None of the categories
Kay hai a ani kya honar pudhe,Homophobia
वा काय ह्यांची भाष्या. आहे..  किती क्लिअर  बोलतात.  स्पष्ट पणे. मंडतात. आपल्या बाजू..  एखाद्या शिक्षक ला सुद्धा जमणार. नाही अशी भाष्या..  खरोखर. कौतुक कराव तेवढ  कमी आहे.. ह्यांनी खुप काही विषयावर. अभ्यास केलेला दिसतोय  ह्यांच्या बोलण्यावरून  खूपच सुंदर...,None of the categories
 @prajaktanadkarni9218  wa nisha kiti chan,None of the categories
"फालतू रीत. ऊद्या कुटुंब , कुळाचार, परंपरांचे काय?",Homophobia
अँकरच ज्यास्त नखरे करायलाय,None of the categories
"007 बरोबर बोलास , पन खरोखर ते सेक्स कसा करत असतील",Homophobia
 @aadeshjadhav3284  जाऊ द्या जैसी जिसकी सोच,None of the categories
मराठी चीनी भाई भाई रोजच आपन... चोई चोई.😬😬😬😀😀😆😆😆😆,None of the categories
हे रशियाच्या राष्ट्रपती पुतिन la दाखवून द्या तो फाशी घेईल व जग युद्धातून बाहेर येईल,Transphobia
Mala Sapna purush vattoy aani ha Balu Hijda vattoy,Transphobia
"Best video I have ever watched till now... Jangaruti khup garjechi aahai.........
Education nahi VALUE Education garjecha aahai",None of the categories
Mala premasathi Marathi mulga pahije hota aani tumhi bhetle,None of the categories
" @nareshshelar9816   जिच्यात कष्ट करून पैसे कमवण्या ची, आणि मर्दा सारखं बायको आणि मुलाना सांभाळ न्या ची हिम्मत नाही तो करेल आस घाणेरडे, अनसर्गिक, काम ( लग्न हे स्त्री पुरुषा ch असत )त्या मुळे लग्न नाही म्हणता येणार",Transphobia
Abp maza che pan abhar,None of the categories
amchi as kai projects karychi ईच्छा आहे पण ... my no 8390843219,None of the categories
"चायला पोरी मिळणा तर अत्ता
नवीन पर्याय शोदुंन काढला यानी
काय फालतू गिरी आहे,,,,,,।।😂😂😂😂🤧",Homophobia
सलाम यांच्या lovestory ला आणि आइशा मॅडम ला एक जातीपलीकडे आणि धर्मा पलीकडे जाऊन एक समाजात परिवर्तन घडवताना तसेच बीड पत्रकारांना,None of the categories
चांगला    निर्णय   आहे   सलाम दादा,None of the categories
Are balu khat pi ja,None of the categories
khupach chan tai,None of the categories
"शाब्बास बाळू, देव‌ तुम्हा दोघांना आशिर्वाद देवो",None of the categories
Yedyacha bajar nusta... congratulations krnare ni swatachya mula mulinchi pn lgn kinner sobat lavavit.. faltu giri nusti,Transphobia
आपला संसार सुखाचा होवो.आई जगदंबा आपणास उदंड आयुष्य देवो. हीच आई जगदंबे चरणी प्रार्थना.मनापासून लग्नाच्या हार्दिक हार्दिक शुभेच्छा…,None of the categories
याच पोरगा शेमन आहे म्हणून हा गे सपोर्ट करतोय,Homophobia
"लोक भारतातून करोडो रुपये घेऊन फरार होत आहेत
या विषयी बातम्या प्रसिद्ध होत आहेत
अश्या लग्न करणाऱ्या लोकांच्या सामानाला अगरबत्तीचा चटका दिला पाहिजे .",Homophobia
"Are nay re
Te tr Bhadave sale Train madhhe pn Chance Baghat astat
Good giri kartat
Chutiya sale 😝😜",None of the categories
भारतीय संविधान मुळे सर्वांना माणूस म्हणून जगण्याचा अधिकार मिळाला 🙏🙏,None of the categories
As bolun tumhla ky mhilnar ahe tyachi life ahe,None of the categories
कुणी म्हनलय अस बाबाने,None of the categories
ए. बी. पी. माझा अशीच बातमी दाखवत जा धन्यवाद.🌷🌷🌷🌷,None of the categories
हे काय चाललंय माझ्या महाराष्ट्रात.,Transphobia
दोघांचे अभिनंदन आणी आयुक्तांचे देखिल् खूप अभिनंदन आणी त्यांच्या विचारला सलाम,None of the categories
वेडे आहात राव तुम्ही....कसले भरी विषय आहेत....superb bhadipa❤,None of the categories
Court la ata hich kame rahili. Baki case gelya udat an faltu goshtit court laksha detay.,Homophobia
"तुमचा संसार सुखाचा होणार कारण तुमची मन जुळली आहेत.आमच्या शुभेच्छा मनापासून तुमच्या साठी.

147",None of the categories
"नमस्कार...दादा..आज या सर्वांना 
मनापासून वंदन.... 
काही दिवसांपूर्वी भाषणासाठी तो ,ती,ते,हा विषय मिळाला,आणि माझ्या व्यथा मी मांडू शकलो ज्यकी या  समुदाया प्रती होत्या...
आज विचार करायला मजबूर व्हावं लागतं की मूलभूत अधिकार.....फक्त संविधानातच की वास्तवात पण....",None of the categories
अरे यांना मुलं कशी होतील,Transphobia
अनेक देशात या प्रकारच्या व्यक्तींना समान वागणूक दिली जाते पण भारतात यांना तुच्छतेने वागणुक देतात. स्वातंत्र्य मिळाल पण अजून याबाबत साक्षरता आली नाही. एखाद्याला शारीरिक व्यंग असेल तर त्याच्यावर टीका करून तुम्ही त्याचे मनोबल कमी करत असता. त्याचा मनमोकळं जगण्याचा अधिकार तुम्ही हिरावून घेऊ शकत नाहीत. अशी लोकं भारतात बुजत व सहन करत राहतात. समाज त्यांना नाकारतो. शाहणा असेल तर तो परदेश गाठतो. मांजरेकर यांनी त्यांच्या मुलाबाबत हे पाऊल उचललं ठीक आहे पण मुलगा तसा नसता तर इतरांच्या बाबत ही भूमिका घेतली असती का? हा प्रश्न आहे. इतर किती लोक घेतात?,None of the categories
"ही विकृती आहे. हे सेलिब्रिटी लोकं मुद्दाम समाजात पसरवत आहेत असे लक्षात येतेय.human population कमी करण्यासाठी Agenda तर नाही ना? Celebrity लोकांनी आणलेलं fad आहे........समाजात नॉर्मल करू पाहताहेत का? सर्वांनी आपल्या मुलांना जपावे आणि या विकृती पासून वाचवावे. संपत्ती, पॉवर, प्रसिद्धी साठी बरेच सेलिब्रिटी Baphomet ला लिंग बळी देतात असं ऐकलंय ते खरं आहे का?",Homophobia
"तू कर मग

",None of the categories
प्रेम आंधळ असत खरच राव पटल आपल्लाला...तुमच्या संसाराला मनपूर्वक शुभेच्छा,None of the categories
"एकंदर भारतीय विवाह संस्था हि इतर जगापेक्षा वेगळी आहे , एका विवाहामध्ये पुर्ण समाज गुंतलेला असतो. समलैगिक संबंधांना विवाह करण्याची मान्यता देणे म्हणणे विवाहसंस्थेच्यामुळ कल्पनेलाच धक्का बसतो. तरि या संबंधाना गुन्ह्याचे स्वरुप नसावे पण त्याला विवाह करण्याची मान्यता का द्यावी?",None of the categories
"""हिजड्याशी लग्न करणं ठीक आहे का?""",None of the categories
सौ. आशा पाटील barobar tai ladies baddalhi yanchi hich mansikta aahe.... Jeans nka ghalu ratri baher nka jau shots nka ghalu sarv lokach tharvitat aapn Kay yanchyach manane jagaych Kay,None of the categories
"आजच्या 'generation'च्या किती स्त्रिया कुंकू लावतात आणि साडी, मंगलसुत्र घालतात कि यांनी घालून त्यांच्यातली स्त्री कोण ते सिद्ध करावं? आणि मुळात तुला पटत नाही म्हणून त्यांनी काही सिद्ध करायला तू कोण लागून गेला? कायद्याला जे आहे ते पटलं, त्यांना पुरे झालं.",None of the categories
Game kasa hoto tumcha🤣🤣😂,None of the categories
"माईला माझ आयूष्य घराब झाल ,
मला अस कोनिती का भेटलि नाहि..😢😢",None of the categories
tumhi  kashala  hi  news  dakhavata,None of the categories
Ata Balu Lavda ky tyachya Bochath taknar ka 😂😂😂😂,Transphobia
 @vandanapatole6043  मजा येणार नाही हो.... मध्ये 🤣🤣🤣,Transphobia
"मोदी सरकारने घातली आहे पाठींबा देऊन
",None of the categories
यांनी फक्त मागचा विचार केला,Transphobia
का वाईट परिणाम होतील ?,None of the categories
मराठी किडा चा सर्वात Top  video दादा.. ❤,None of the categories
Tumhi jar 1dya mulichi kimmat theu shakt nahi na....,None of the categories
मन आणि स्वभाव चांगल असेल तर बाकी काय लागत नाही. नाहीतर मी असे खूप पहिले जे पैशाने आणि दिसायला भारी असून सुद्धा त्यांना जगता येणा नाही.,None of the categories
Br kartay te changale aahe Fkt lagna nantr Balu tu bhandan karu nako sapna sobt nahi tar sapna tula eka bukkit hekna Karun takel 😂😂😂,None of the categories
माझ्या तोंडातील रूपाया घेऊन जर भरभराट होणार असेल तर तो मी RBI गव्हर्नर ला देईन... संपूर्ण देशाची भरभराट होऊ दे....... विचार 👌👌...... राष्ट्र प्रथम,None of the categories
तुम्हाला खुप शुभेच्छा आणी तुम्ही कोणाचाया दबावाला बळी पडु नको,None of the categories
"आदेश भाऊजी ना tag करा होममिनिस्टर नेक्स्ट एपिसोड
साठी जोडी भेटली 😂😂😂😂",None of the categories
Lokana aaj kal kay jal aahe lavade lavadyacha savasar karnar tu mul kas payda karshil,Transphobia
"काही विचार लोकांच्या मनात घर करून राहतात तसच हा समलैंगिक आहे . जर तुम्ही एखाद मुल दत्तक घेतले तर त्याच्यावर संसकर करायला आई ही लागतेच. मी समैंगिकतेच्या विरोधात नाही पण आपले संस्कार दुसऱ्यावर होताना त्याच्या मनाची होणार घुसमट तो आई शिवाय कोणाला सांगणार ...मी त्यांचा  तो इंटर्विर पहिला आहे. त्या फक्त दत्तक मुलाल आई नको का याचा विचार त्यांनी केला.ना तुमच्या समैंगिकतेच्या विरोधात काही बोलल्या नाहीत. जग किती ही मॉडर्न झाले तरी कोणाला काही हक्क नाही की कोणाच्या जीवना बरोबर खेळावं. लिव्ह इन किंव्हा लग्न करून रहावा पण तुम्हाला जशी तुमच्या आईची गरज होती तशी दत्तक घेतलेल्या बाळाला नको का? एक आई उत्तम बापाची भूमिका पर पडू शकते पण एक बाप उत्तम आई कधीच होऊ शकत नाही.
जो तुम्ही काय चालू केले आहे निशिगंधा ताई अश्या बोलल्या आस नको होत बोलाय हे बंद करा. जरा विचार करा आई नसते तर काय झाले असते आपले मग तो male ,female or third gender असो आई ही पाहिजेच.

",None of the categories
Vedzave ahat...Kai swatahala shahane samajata kai,Homophobia
Tumacha Sarth Abhiman ahe,None of the categories
"  @ordinaryman462  बांगड्याबांगड्या 
बोलतोस तू कधीपासून तू तर बांगडीच आहेस मग 😀😁😏
Phd ने बांगडीच बनवलय तूला 😁😁
म्हणूनच अशीक्षीत मूर्खाप्रमाणे काहीही बोलत आहेस",None of the categories
Khup khup shubh Aashirwad,None of the categories
"Sexual identity ha fakt bedroom and bathroom cha vishay aahe....
Society cha sambandh nahi jar normal sarkhech rahat asel tar

Good  education ghevun sanmanane jagave ....

Chan vishay hatalla",None of the categories
mam Gey Manj nakii kay hoat Mansala ?😮,None of the categories
Yat kasle great feelings ??,Transphobia
"अरे वेड्या  तू मर्द आहे
स लग्न  कोणा बरोबर कराव हा विचार कर",Transphobia
Wow... khup chan bolta tumhi,None of the categories
"Collage made Astana amhi participate vhaycho youth festival made tevha Bharat la lawani bharatnatyam kartana pahil hot tya nantr aaj pahil sanvi ya rupat

",None of the categories
 @deepaknawale680  amhi sex anal need karto kiwa anal na karta pan karu shakto chumban sparsh saglyana padhhtine sex hoto,None of the categories
 @murtazapatwa4962  त्यांच्यासुद्धा अपेक्षा कमी नाहिएत,None of the categories
कलंक पुसला जाईल तर बरंच,Homophobia
भारताला खालच्या पातळीवर नेण्याचा एक विकृत प्रयत्न,Homophobia
"निव्वळ मोक्कार...
सृष्टी बनवणाऱ्या ईश्वराणे स्त्री आणि पुरुष कश्यासाठी बनवलेत??
निसर्गाच्या नियमा विरोधात जाल तर निसर्ग तुमचा सूड घेणारच नैसर्गिक आपत्ती विनाकारण येत नसते ह्या असल्या मोक्कार गोष्टी मूळच नैसर्गिक येते आणि त्यात निष्पाप लोक मरतात",Homophobia
"खोल विषय, गरज आहे या बद्दल बोलणे",None of the categories
 @ninad582  tumhi smanun koni manovikeut hot naahi tumhi kahi doctor just psychiatrist naahiyat dusryana certificate dyayla,None of the categories
Niket Avinash Bhosale Jr. tu tri kut sangitla tujya ghari jo kutra ahe... to tumchya love chi nishaniii ahe.....ani tu tyala pedigree chartooo...doghan wr gelay brobr too…,None of the categories
"निकिता लहान भाऊ म्हणून तुझ्या सोबत कायम आहे 
निकिता सारखी संवेदनशील व्यक्ती शासकीय व्यवस्थेत असली पाहिजे",None of the categories
"Atkya surgery karayala piase kuthun yetat.. ikde.. mulvyadh ch operation karata yet nahi...
Mla nahi aahe.. lokanchi bhavana sangtoy",None of the categories
"Nisargla maat dili Rao manasane asa vatay mala
No offense",Homophobia
पूर्व तयारी पवारखेळी😂😂,Homophobia
हे तर लोकांनी आधीच सांगितलं,None of the categories
पत्रकार संघाचं खरोखरच प्रशंसनीय  असं कार्य   पत्रकार संघाचे खूप खूप अभिनंदन ।।,None of the categories
"खुप छान  dicision घेतला ,समाजाला बळी न पङता.Great Samir Sir and Amit sir",None of the categories
"बाळु खुप चांगला निर्णय. समाज गेला उडत.
अभिनंदन",None of the categories
Hunda den saglyana nahi jamt,None of the categories
पैसो का खेल ही निराळा....,None of the categories
Sagale chakke ahet,Transphobia
